File,l_bankssts,l_caudalanteriorcingulate,l_caudalmiddlefrontal,l_cuneus,l_entorhinal,l_fusiform,l_inferiorparietal,l_inferiortemporal,l_isthmuscingulate,l_lateraloccipital,l_lateralorbitofrontal,l_lingual,l_medialorbitofrontal,l_middletemporal,l_parahippocampal,l_paracentral,l_parsopercularis,l_parsorbitalis,l_parstriangularis,l_pericalcarine,l_postcentral,l_posteriorcingulate,l_precentral,l_precuneus,l_rostralanteriorcingulate,l_rostralmiddlefrontal,l_superiorfrontal,l_superiorparietal,l_superiortemporal,l_supramarginal,l_frontalpole,l_temporalpole,l_transversetemporal,l_insula,l_thalamusproper,l_caudate,l_putamen,l_pallidum,l_accumbensarea,l_hippocampus,l_amygdala,r_bankssts,r_caudalanteriorcingulate,r_caudalmiddlefrontal,r_cuneus,r_entorhinal,r_fusiform,r_inferiorparietal,r_inferiortemporal,r_isthmuscingulate,r_lateraloccipital,r_lateralorbitofrontal,r_lingual,r_medialorbitofrontal,r_middletemporal,r_parahippocampal,r_paracentral,r_parsopercularis,r_parsorbitalis,r_parstriangularis,r_pericalcarine,r_postcentral,r_posteriorcingulate,r_precentral,r_precuneus,r_rostralanteriorcingulate,r_rostralmiddlefrontal,r_superiorfrontal,r_superiorparietal,r_superiortemporal,r_supramarginal,r_frontalpole,r_temporalpole,r_transversetemporal,r_insula,r_thalamusproper,r_caudate,r_putamen,r_pallidum,r_accumbensarea,r_hippocampus,r_amygdala,brainstem
FDOPA_f18.nii,33.836986,37.564818,28.855617,32.386558,34.181386,34.557604,28.359551,32.332287,32.073877,27.146259,32.54295,32.242283,34.555516,33.206311,35.044314,33.415954,30.53779,26.1055,30.846651,31.931052,28.653567,34.845324,28.44881,34.34736,41.717151,27.945109,30.81677,28.756439,33.065319,29.110264,21.974594,35.476842,32.652668,36.337133,32.944186,48.819258,68.330282,60.056346,48.396033,33.959581,42.069871,35.523881,37.100177,29.360885,32.707579,32.775793,34.173765,29.355927,32.603272,33.888181,28.09873,33.316462,31.932741,36.171418,34.389125,33.764021,34.157491,32.165996,28.153417,32.169767,32.799327,28.55622,35.685996,29.092335,34.810664,40.556581,28.918379,30.70741,28.80718,33.502402,30.10516,23.120451,36.71293,31.089998,38.684384,31.517286,44.993659,71.344184,51.778395,49.145858,33.203534,40.684636,31.443749
GABAa_FLUMAZENIL_c11.nii,66.489168,61.035255,63.036436,76.117856,61.504507,67.617653,67.043382,63.734227,60.674548,60.292156,65.342557,77.703705,70.359724,64.549635,63.220574,53.284684,67.069859,57.28513,63.455015,75.775757,60.851275,62.063688,58.235418,65.036442,67.274369,65.911245,61.26791,62.845218,64.595195,65.008879,51.329614,56.286861,74.453878,71.526151,30.833528,28.75124,43.344861,33.43352,61.071361,53.710976,54.336616,67.245894,58.762265,62.418993,75.824198,57.480832,68.06501,64.60544,63.485956,66.466653,58.825806,65.361045,72.74656,69.956552,66.638975,61.481532,57.550886,66.850059,62.626531,65.820531,83.769227,60.68946,66.433442,57.618941,72.548283,70.047817,65.553247,62.372073,59.265299,65.866672,64.755389,54.472276,56.928067,67.554867,66.622388,33.001759,29.281712,38.552338,27.538458,56.704275,53.461404,52.325275,16.361185
GABAa_flumazenil_hc16_norgaard.nii,43.61795,40.152886,37.041871,61.763214,26.339194,42.014809,36.487733,33.454836,52.112357,41.768974,28.565392,62.272091,46.665553,33.000551,29.296025,41.597921,41.329277,23.828892,31.470127,66.775095,33.889047,38.458118,36.041295,50.124261,42.674702,32.898732,42.54911,31.770596,34.300524,37.162932,30.923686,28.987729,64.30388,28.970316,28.314911,30.390492,47.330941,31.261805,41.603702,42.096446,33.897861,37.282018,38.851397,40.756357,57.510461,15.78853,36.648002,35.101597,31.057693,32.464831,37.15084,34.190505,55.574852,41.62301,38.637117,14.062685,37.2204,44.877592,39.595836,39.735998,73.205085,34.133334,34.705755,37.932307,44.389971,26.704303,41.005713,38.346309,34.754857,43.687085,39.944254,24.580287,32.347569,59.62238,47.685809,26.145976,30.574052,38.581556,24.665552,32.85242,38.654727,29.11787,8.192795
KappaOp_LY2795050_hc10_ShokriKojori.nii,34.111865,50.87775,30.070593,22.079853,37.491528,27.763797,24.321795,24.365125,22.364025,16.522944,28.132594,21.193176,28.542204,22.658755,27.774835,32.950973,36.253206,18.709532,28.805692,18.055909,26.265134,36.070753,33.019327,26.30018,44.638889,25.122642,31.824364,19.215022,25.83231,26.705407,8.219921,27.281865,33.681385,47.823755,16.684423,20.167638,38.324656,35.237273,43.276936,20.29266,54.985661,36.52576,54.606024,34.011597,19.31495,30.453813,27.729146,22.700637,25.431194,23.989529,14.145564,30.079835,18.590946,32.019217,26.653985,20.996369,32.300569,43.360998,24.340001,34.917093,18.803451,28.404007,36.967885,38.038123,26.626024,51.581034,32.419537,31.938819,19.009098,30.771908,29.142626,8.097062,29.583542,34.468204,52.899902,16.383159,17.747728,35.127541,33.079757,40.527202,19.791054,52.635724,9.731099
MU_CARFENTANIL_c11.nii,21.671598,34.103012,22.017639,3.56948,26.30336,20.003037,15.611639,22.001049,15.790127,4.665241,27.230018,4.671662,31.203117,19.301738,15.572179,16.087367,23.928713,17.930337,20.593288,0.217767,12.333644,26.737718,15.776721,17.391666,35.058362,22.319933,25.84957,11.851203,20.356606,19.242523,15.744632,25.757974,15.249097,31.05783,44.167826,38.359073,39.547201,25.326543,56.112436,13.055503,41.114669,23.507187,35.1632,25.058706,1.613713,21.456178,18.622505,14.792268,23.199961,16.948814,3.24885,29.051971,3.552922,32.007904,24.302258,12.969348,18.58442,27.167264,24.135617,25.382386,-0.009,14.792984,29.502637,17.570347,17.650003,39.20021,27.82757,27.159177,11.165162,22.69836,22.489341,15.511858,26.466046,12.300595,30.905962,46.989866,39.014951,41.863593,18.896909,54.642821,9.459931,39.875707,8.791372
MU_carfentanil_hc39_turtonen.nii,32.46393,43.823518,29.246805,8.095595,29.953989,27.206617,21.545997,29.078684,20.258474,8.436089,34.994815,8.201172,43.173582,25.67882,20.779525,23.360192,33.671609,22.237157,28.408741,2.889283,17.56848,34.527302,22.835505,23.907545,46.627829,28.466105,34.137646,16.417492,27.716107,25.448367,19.046659,27.230947,28.923056,40.999825,49.825963,42.001408,52.18515,41.353395,66.84842,21.551005,44.268239,34.041098,46.333233,35.058724,6.790274,25.86206,25.58714,21.394472,29.806832,22.368993,6.31503,37.432354,7.295336,45.085551,31.741315,18.774159,26.608709,38.967174,31.872743,35.77946,1.463982,21.976616,37.500224,26.940602,24.458168,51.622273,38.80703,37.035292,16.196209,31.365516,30.919007,17.276184,28.087506,24.299088,42.04859,52.184281,41.078419,54.432753,38.377338,64.886112,19.08746,43.742092,10.551043
NAT_MRB_c11.nii,11.002897,10.735548,9.757895,11.448778,11.001706,11.536912,8.906714,9.349244,7.262055,7.019176,6.39184,9.787799,6.244329,9.134086,9.369477,16.733396,9.804631,2.720313,6.524552,8.342875,11.328705,11.531608,13.987493,11.231853,10.828727,8.553992,12.505455,8.08101,9.595744,10.097446,4.744869,12.173192,17.192234,14.087268,36.433292,5.281349,12.175276,11.345842,14.294917,6.758495,12.196702,13.950484,8.650748,11.173392,12.004567,9.960953,13.211678,9.122289,11.323508,6.789391,7.043455,6.244718,8.939243,5.957769,11.760031,8.873579,17.622365,9.41341,4.4041,7.516645,12.129523,12.962459,9.429081,15.615048,14.201806,7.469646,9.757977,11.262118,8.248876,11.729273,11.326212,4.301898,12.772244,16.188247,14.633026,36.485691,3.551722,12.607475,17.612225,13.864982,6.693197,10.294074,15.37128
NMDA_ge179_29hc_galovic2021.nii,61.088457,58.162139,53.064599,62.302803,51.898951,58.765817,53.54971,52.86854,61.572263,47.834081,56.775758,64.681769,57.326355,52.338789,47.450859,57.17065,56.770097,54.414316,55.389044,57.458953,53.48423,59.09106,56.419454,62.860141,59.54447,51.017019,55.378351,52.258993,56.043394,52.978505,33.18815,56.558803,68.266935,65.053977,71.786294,63.179611,69.827574,66.06219,61.741619,62.205654,55.434222,60.918737,57.292255,54.785816,58.729541,47.906814,56.382489,53.557006,52.80909,61.751816,46.828109,58.093283,58.270971,61.462838,58.359589,46.24996,57.908422,60.303519,56.207837,57.42649,63.68853,51.494721,61.343608,56.465525,63.286459,62.169347,53.238538,55.537528,50.756599,60.010629,54.583279,37.228846,59.528345,70.868148,64.053126,72.299707,59.845518,69.868065,60.084697,57.560603,60.085282,54.999478,46.905649
SERT_DASB_HC30.nii,6.692228,12.410272,2.908068,9.408754,16.29082,6.966673,4.181897,4.827159,8.383086,6.025095,8.30941,10.20338,10.001272,6.253423,11.042737,4.848092,5.388351,4.130093,5.494902,8.025621,6.136261,11.772614,4.491838,5.815835,12.372855,5.756218,3.975096,2.85775,9.300753,4.913887,5.323038,10.302687,14.967615,17.020635,28.575741,21.130263,33.823664,41.482013,36.459293,12.379752,26.275446,5.889222,13.59234,3.022171,10.948654,13.623501,6.680196,3.308851,5.255623,10.202568,4.921131,8.504239,10.543735,10.724234,5.984824,8.974585,6.637856,5.775707,6.272635,6.155978,10.480993,5.577803,13.901049,4.475337,7.150043,14.960873,5.72399,4.331544,2.517476,9.332154,4.95225,5.090261,11.445792,13.86102,18.851223,31.911404,18.820476,36.964749,36.021495,35.307585,11.371867,26.913973,27.640273
SERT_MADAM_c11.nii,7.807144,11.159278,7.928855,10.389595,11.416415,7.947399,6.78557,6.992804,9.31141,7.396152,8.610622,9.337849,9.354381,7.070132,10.734952,7.538415,9.485451,5.452589,9.426553,9.103195,7.42834,11.252751,7.1512,8.504451,10.699654,9.830958,7.067094,5.404934,8.332955,7.085907,3.776841,7.254014,12.785116,13.401899,32.5186,23.515112,33.313896,28.113761,29.389736,12.576992,20.615074,7.39584,11.207008,6.89076,10.558246,10.565709,7.288749,6.084845,6.712707,10.991608,6.410132,8.444944,7.724683,8.862704,6.617083,10.171882,7.45103,8.278113,6.189511,7.181164,11.223158,6.643879,11.067263,6.690182,8.82715,10.872421,8.127261,6.966311,4.821935,7.628746,7.246185,6.293125,6.525359,9.80792,12.388717,32.657081,24.661653,32.527389,19.137113,29.96139,9.005751,20.105937,24.076917
SERT_dasb_hc100_beliveau.nii,4.377903,7.837821,3.07086,5.815829,16.147603,6.452117,2.949392,4.301798,7.147992,4.339433,5.956177,6.833003,6.051822,4.067755,7.156691,5.003005,5.178443,4.312852,4.065099,5.849925,4.169596,7.210896,4.085593,4.56175,6.13628,3.413072,4.17402,2.753149,6.337292,3.81562,5.537263,12.146837,10.546768,8.923441,31.98026,19.623279,30.256085,36.054319,18.432151,10.005571,20.380282,3.036347,7.218726,2.991381,6.931994,14.679318,5.750552,2.967255,4.17572,5.407277,3.737545,7.158731,6.65513,5.932765,4.662505,4.112442,6.242763,4.417414,5.171861,4.61844,6.403793,3.765149,6.794729,3.992906,5.135181,5.161146,4.024727,4.005374,2.407368,7.213844,3.974623,4.617612,12.879811,9.613102,11.226709,31.050049,15.848741,32.532929,30.411287,16.228037,8.944234,17.974821,21.004054
VAChT_feobv_hc18_aghourian.nii,11.919572,16.587432,9.418103,9.742515,11.232065,9.450053,7.88303,8.606678,11.689985,7.426438,10.719598,9.181901,11.168957,8.467117,10.292096,13.871215,10.783423,7.821469,9.6674,9.72125,9.664982,15.925561,11.501671,10.897231,12.617307,8.044209,10.440797,7.711603,10.710432,8.627875,6.336395,8.878773,16.684987,14.483762,22.133701,51.495224,61.548926,23.903151,34.748385,15.400414,18.978343,11.999081,16.349308,10.214495,8.874905,9.432718,8.960865,7.969747,9.286976,11.294578,6.738142,11.424751,8.294419,11.392679,10.348243,9.3826,13.785094,12.003353,9.903186,11.436689,9.725244,10.904518,15.829285,12.807392,10.598433,12.524261,10.033882,10.187789,7.392521,12.434864,10.351822,5.259347,8.565217,15.40861,15.418964,20.239969,46.8221,62.811412,21.682409,35.981402,15.684952,18.177345,11.249521
VAChT_feobv_hc4_tuominen.nii,12.141072,14.924401,7.944907,10.740772,10.174449,9.324783,6.988289,6.674099,11.088961,6.476951,10.046454,11.135853,12.208571,6.210443,11.074715,12.764624,9.361635,4.855438,7.769426,10.331567,8.546656,14.106504,9.5428,10.76004,13.462101,7.147909,9.455528,7.474608,9.453866,7.669684,5.473658,8.574828,16.588425,15.956745,21.219089,48.10495,59.031554,38.4556,30.815268,16.74143,18.05972,12.096855,16.730506,9.527871,9.364147,8.749071,9.085886,7.498405,7.851284,11.454261,6.32624,10.566237,10.569711,12.644427,8.833888,10.179769,13.428683,10.961714,7.558742,9.959792,10.679964,10.603074,15.098816,11.28086,10.979301,14.72723,9.817516,9.69465,7.101854,11.990643,10.110071,3.825388,9.187829,17.737523,17.554651,20.826937,42.29996,61.004318,31.770236,28.214547,16.48889,18.132845,13.1866
VAChT_feobv_hc5_bedard.nii,12.757384,13.834022,9.8149,10.737823,12.332449,11.612109,8.211425,10.065344,12.147103,7.622142,11.772709,11.206804,12.792701,9.329173,12.251108,12.445948,10.383742,6.903578,9.077368,10.946467,9.083696,13.88911,10.434387,11.73971,13.779814,8.2283,10.349268,7.961986,10.966132,8.898529,6.676816,10.658701,15.459083,16.098329,23.07335,50.332172,63.232381,34.3646,33.834802,17.403212,21.120466,12.430347,13.882605,11.201793,9.931319,10.988483,11.416832,8.856866,10.85578,12.121992,7.44089,12.629051,11.083931,12.945289,11.52012,12.23779,12.352259,12.232705,9.483146,11.544524,11.179892,10.911711,14.329198,12.101165,11.426385,13.501876,11.016566,10.240794,7.949344,12.884393,10.858601,5.536755,10.499073,15.163247,18.421074,22.504532,46.142942,66.17559,31.066236,33.896747,17.931579,20.648607,13.494742
mGluR5_abp_hc22_rosaneto.nii,63.017139,65.036424,53.454367,60.672871,54.143644,59.770686,51.815698,59.493577,58.691696,51.291552,60.541287,57.938245,67.775955,54.784986,54.206669,56.662174,58.162858,47.51208,56.704801,54.335261,46.707053,65.504599,50.808943,61.497668,65.679996,50.002859,57.45587,46.574725,52.947847,51.84535,42.571713,48.444157,63.774236,62.938169,45.663792,46.96404,72.447577,48.484544,62.390186,48.815558,54.62652,63.370438,63.639497,60.753542,53.758894,50.767167,58.560849,52.821898,62.412556,61.200808,46.00335,60.140451,53.457358,66.945467,65.925889,51.468876,55.908498,65.148622,57.956155,67.350432,57.996273,55.194469,67.859096,57.738111,61.298514,67.311722,64.305481,58.13122,44.337287,61.789315,61.453155,41.428431,57.487823,62.268104,61.941359,43.697614,44.814873,68.33421,42.292686,59.58493,50.549933,52.526379,28.670181
mGluR5_abp_hc28_dubois.nii,65.990763,72.048919,54.498722,65.082552,58.590465,63.856532,50.420851,61.025544,60.471357,46.398431,61.465974,60.070247,70.783119,57.118813,58.356157,54.968355,60.628939,45.591861,55.965061,56.050636,46.389831,69.338628,50.950688,63.670033,68.842523,48.975215,60.002631,45.292331,58.806271,51.29478,39.620502,55.384921,73.810045,69.543857,45.256444,61.917191,67.875593,39.940563,64.813736,54.435309,56.543818,67.831068,70.048311,62.204402,56.735984,53.377732,61.910607,50.272375,63.295467,64.674873,40.69531,63.051315,57.439497,69.078255,67.656481,55.902476,56.658693,70.655204,58.610427,67.915772,59.530318,56.681683,72.490763,58.672069,66.162984,69.581837,63.964454,62.317314,43.095994,66.299917,62.633336,36.339328,59.575759,68.046481,67.545972,43.92397,58.808919,66.831134,37.161777,61.569694,52.51638,53.415388,23.756108
mGluR5_abp_hc73_smart.nii,63.598152,66.209161,51.189348,61.362243,45.012899,49.65234,49.777747,45.675973,56.37716,34.893752,50.086366,50.79361,60.696095,48.554914,46.788193,53.824265,62.671322,38.188439,50.949994,48.411802,47.883846,68.669518,47.738264,66.636482,66.775824,47.697588,55.54411,45.848109,54.749723,53.418184,34.553791,42.375666,71.448181,67.196779,32.465416,50.438946,60.194057,27.62331,55.904736,46.533052,46.443195,71.476423,66.570607,57.012557,57.220162,40.338249,50.997491,50.961779,50.884274,57.206084,33.617291,51.724567,48.21184,64.057381,58.817228,43.903897,55.447087,72.908553,48.444704,60.473772,52.472083,53.659296,70.444923,53.167047,68.987794,74.883003,57.697912,57.820723,44.831167,65.146566,63.225349,32.956001,45.056588,71.011003,69.80997,30.51504,47.622762,59.410097,24.879685,52.46593,45.2441,45.050174,1.369965
